core.externalId,core.name,core.description,core.assignable,custom.sap.hana.calscript.v7.keyAttribute,custom.sap.hana.calscript.v7.columnExpression,custom.sap.hana.calscript.v7.columnDataType
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/PAYMENT_ORDER,PAYMENT_ORDER,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/SGTXT,SGTXT,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/DAY,DAY,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/WEEKDAY,WEEKDAY,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/DAYNAME,DAYNAME,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/SIXDAYGROUP,SIXDAYGROUP,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/WEEKOFMONTH,WEEKOFMONTH,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/CUSTOMER_NAME,CUSTOMER_NAME,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/VENDOR_NAME,VENDOR_NAME,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/TRANSACTION_TYPE,TRANSACTION_TYPE,,True,true,,NVARCHAR
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/WSL,WSL,,True,false,,DECIMAL
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/TSL,TSL,,True,false,,DECIMAL
custom.sap.hana.calscript.v7.HanaCalcViewField/TI_VENDOR_5Y/HSL,HSL,,True,false,,DECIMAL
