core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference
Sample_Sales_Report_78752638,Sample Sales Report,Sample Sales Report,Sample Sales Report,Sample Sales Report,
Simpfy_project_96010eb4,Simpfy project,Simpfy project,Simpfy project,Simpfy project,
