core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference
Sample_Sales_Report_78752638/ds_sales_vw,ds_sales_vw,ds_sales_vw,ds_sales_vw,ds_sales_vw,
Sample_Sales_Report_78752638/ds_customer_vw,ds_customer_vw,ds_customer_vw,ds_customer_vw,ds_customer_vw,
Simpfy_project_96010eb4/ds_simpfy_projects_vw,ds_simpfy_projects_vw,ds_simpfy_projects_vw,ds_simpfy_projects_vw,ds_simpfy_projects_vw,
Simpfy_project_96010eb4/ds_LastMilestonesTable,ds_LastMilestonesTable,ds_LastMilestonesTable,ds_LastMilestonesTable,ds_LastMilestonesTable,
Simpfy_project_96010eb4/ds_Stage_sort,ds_Stage_sort,ds_Stage_sort,ds_Stage_sort,ds_Stage_sort,
Simpfy_project_96010eb4/ds_simpfy_challenges_vw,ds_simpfy_challenges_vw,ds_simpfy_challenges_vw,ds_simpfy_challenges_vw,ds_simpfy_challenges_vw,
Simpfy_project_96010eb4/ds_Unique_Projects,ds_Unique_Projects,ds_Unique_Projects,ds_Unique_Projects,ds_Unique_Projects,
Simpfy_project_96010eb4/ds_simpfy_kpi_value,ds_simpfy_kpi_value,ds_simpfy_kpi_value,ds_simpfy_kpi_value,ds_simpfy_kpi_value,
