core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,custom.PowerBI.v3.FieldType
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart/LastMilestonesTable_LastMilestoneStatus,LastMilestoneStatus,LastMilestonesTable.LastMilestoneStatus,LastMilestoneStatus,LastMilestoneStatus,,Source Column
Simpfy_project_96010eb4/ds_LastMilestonesTable/LastMilestoneStatus,LastMilestoneStatus,LastMilestoneStatus,LastMilestoneStatus,LastMilestoneStatus,,Source Column
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart/simpfy_projects_vw_project_type,Project type,simpfy_projects_vw.project_type,Project type,Project type,,Source Column
Simpfy_project_96010eb4/ds_simpfy_projects_vw/project_type,project_type,project_type,project_type,project_type,,Source Column
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart/simpfy_projects_vw_Total_cost_distinct_project_currency2,Cost,simpfy_projects_vw.Total cost distinct project currency2,Cost,Cost,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Total_cost_distinct_project_currency2,Total cost distinct project currency2,Total cost distinct project currency2,Total cost distinct project currency2,Total cost distinct project currency2,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart/Stage_sort_Stage,Stage,Stage_sort.Stage,Stage,Stage,,Source Column
Simpfy_project_96010eb4/ds_Stage_sort/Stage,Stage,Stage,Stage,Stage,,Source Column
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual13_card/Min_simpfy_projects_vw_project_name,Projects,Min(simpfy_projects_vw.project_name),Projects,Projects,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual14_card/simpfy_challenges_vw_Blank_challenges_count,Key challenges,simpfy_challenges_vw.Blank challenges count,Key challenges,Key challenges,,Measure
Simpfy_project_96010eb4/ds_simpfy_challenges_vw/Blank_challenges_count,Blank challenges count,Blank challenges count,Blank challenges count,Blank challenges count,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual15_card/simpfy_projects_vw_distinct_count_pillars,Pillars,simpfy_projects_vw.distinct_count_pillars,Pillars,Pillars,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/distinct_count_pillars,distinct_count_pillars,distinct_count_pillars,distinct_count_pillars,distinct_count_pillars,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual16_card/simpfy_projects_vw_Dynamic_display_unit_tc,Dynamic display unit_tc,simpfy_projects_vw.Dynamic display unit_tc,Dynamic display unit_tc,Dynamic display unit_tc,,Measure
Simpfy_project_96010eb4/ds_simpfy_projects_vw/Dynamic_display_unit_tc,Dynamic display unit_tc,Dynamic display unit_tc,Dynamic display unit_tc,Dynamic display unit_tc,,Measure
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual17_card/simpfy_projects_vw_Dynamic_display_unit_tc,"Total Cost, USD",simpfy_projects_vw.Dynamic display unit_tc,"Total Cost, USD","Total Cost, USD",,Measure
