core.externalId,core.reference,core.assignable,core.name
Sample_Sales_Report_78752638/Reference_sales_vw,TRUE,TRUE,Reference_sales_vw
Sample_Sales_Report_78752638/Reference_customer_vw,TRUE,TRUE,Reference_customer_vw
Simpfy_project_96010eb4/Reference_simpfy_projects_vw,TRUE,TRUE,Reference_simpfy_projects_vw
Simpfy_project_96010eb4/Reference_LastMilestonesTable,TRUE,TRUE,Reference_LastMilestonesTable
Simpfy_project_96010eb4/Reference_Stage_sort,TRUE,TRUE,Reference_Stage_sort
Simpfy_project_96010eb4/Reference_simpfy_challenges_vw,TRUE,TRUE,Reference_simpfy_challenges_vw
Simpfy_project_96010eb4/Reference_Unique_Projects,TRUE,TRUE,PowerBI_Projects
Simpfy_project_96010eb4/Reference_simpfy_kpi_value,TRUE,TRUE,Reference_simpfy_kpi_value
