core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,custom.PowerBI.v3.VisualQuery,custom.PowerBI.v3.VisualType
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual9_slicer,Visual9_slicer,Visual9_slicer,Visual9_slicer,Visual9_slicer,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'start_year'}, 'Name': 'simpfy_projects_vw.start_year', 'NativeReferenceName': 'Project Start Date'}]}",slicer
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual10_filledMap,Visual10_filledMap,Visual10_filledMap,Visual10_filledMap,Visual10_filledMap,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'project_id'}}, 'Function': 5}, 'Name': 'CountNonNull(simpfy_projects_vw.project_id)', 'NativeReferenceName': 'Count of project_id'}, {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'project_version_id'}}, 'Function': 2}, 'Name': 'CountNonNull(simpfy_projects_vw.project_version_id)', 'NativeReferenceName': 'Project count'}, {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'project_country'}, 'Name': 'simpfy_projects_vw.project_country', 'NativeReferenceName': 'project_country'}]}",filledMap
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual11_barChart,Visual11_barChart,Visual11_barChart,Visual11_barChart,Visual11_barChart,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}, {'Name': 'l', 'Entity': 'LastMilestonesTable', 'Type': 0}], 'Select': [{'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'project_name'}}, 'Function': 2}, 'Name': 'Count(simpfy_projects_vw.project_name)', 'NativeReferenceName': 'Count of projects'}, {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'segment_name_abbreviated'}, 'Name': 'simpfy_projects_vw.segment_name_abbreviated', 'NativeReferenceName': 'Segment name'}, {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'segment_name'}}, 'Function': 3}, 'Name': 'Min(simpfy_projects_vw.segment_name)', 'NativeReferenceName': 'Segment full name'}, {'Column': {'Expression': {'SourceRef': {'Source': 'l'}}, 'Property': 'LastMilestoneStatus'}, 'Name': 'LastMilestonesTable.LastMilestoneStatus', 'NativeReferenceName': 'LastMilestoneStatus'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'project_name'}}, 'Function': 2}}}]}",barChart
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual12_pieChart,Visual12_pieChart,Visual12_pieChart,Visual12_pieChart,Visual12_pieChart,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}, {'Name': 's1', 'Entity': 'Stage_sort', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'project_type'}, 'Name': 'simpfy_projects_vw.project_type', 'NativeReferenceName': 'Project type'}, {'Measure': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'Total cost distinct project currency2'}, 'Name': 'simpfy_projects_vw.Total cost distinct project currency2', 'NativeReferenceName': 'Cost'}, {'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'Stage'}, 'Name': 'Stage_sort.Stage', 'NativeReferenceName': 'Stage'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'total_cost'}}, 'Function': 1}}}]}",pieChart
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual13_card,Visual13_card,Visual13_card,Visual13_card,Visual13_card,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'project_name'}}, 'Function': 2}, 'Name': 'Min(simpfy_projects_vw.project_name)', 'NativeReferenceName': 'Projects'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'project_name'}}, 'Function': 2}}}]}",card
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual14_card,Visual14_card,Visual14_card,Visual14_card,Visual14_card,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Measure': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'Blank challenges count'}, 'Name': 'simpfy_challenges_vw.Blank challenges count', 'NativeReferenceName': 'Key challenges'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Measure': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'Blank challenges count'}}}]}",card
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual15_card,Visual15_card,Visual15_card,Visual15_card,Visual15_card,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Measure': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'distinct_count_pillars'}, 'Name': 'simpfy_projects_vw.distinct_count_pillars', 'NativeReferenceName': 'Pillars'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'pillar_enabler_name'}}, 'Function': 2}}}]}",card
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual16_card,Visual16_card,Visual16_card,Visual16_card,Visual16_card,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Measure': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'Dynamic display unit_tc'}, 'Name': 'simpfy_projects_vw.Dynamic display unit_tc', 'NativeReferenceName': 'Dynamic display unit_tc'}]}",card
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual17_card,Visual17_card,Visual17_card,Visual17_card,Visual17_card,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Measure': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'Dynamic display unit_tc'}, 'Name': 'simpfy_projects_vw.Dynamic display unit_tc', 'NativeReferenceName': 'Total Cost, USD'}]}",card
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual18_barChart,Visual18_barChart,Visual18_barChart,Visual18_barChart,Visual18_barChart,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Measure': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'Total cost distinct project'}, 'Name': 'simpfy_projects_vw.Total cost distinct project', 'NativeReferenceName': 'Total cost'}, {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'segment_name_abbreviated'}, 'Name': 'simpfy_projects_vw.segment_name_abbreviated', 'NativeReferenceName': 'Segment name'}, {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'segment_name'}}, 'Function': 3}, 'Name': 'Min(simpfy_projects_vw.segment_name)', 'NativeReferenceName': 'Segment full name'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Measure': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'Total cost distinct project'}}}]}",barChart
Simpfy_project_96010eb4/605491f5f08a57683ed5/Visual19_card,Visual19_card,Visual19_card,Visual19_card,Visual19_card,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_projects_vw', 'Type': 0}], 'Select': [{'Measure': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'socar_share_distinct'}, 'Name': 'simpfy_projects_vw.socar_share_distinct', 'NativeReferenceName': 'SOCAR Share, USD'}]}",card
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual1_barChart,Visual1_barChart,Visual1_barChart,Visual1_barChart,Visual1_barChart,,"{'Version': 2, 'From': [{'Name': 's1', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'risk_level'}, 'Name': 'simpfy_challenges_vw.risk_level', 'NativeReferenceName': 'Risk level'}, {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'challange_id'}}, 'Function': 2}, 'Name': 'CountNonNull(simpfy_challenges_vw.challange_id)', 'NativeReferenceName': 'Count of challanges'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'risk_level'}}}]}",barChart
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual2_donutChart,Visual2_donutChart,Visual2_donutChart,Visual2_donutChart,Visual2_donutChart,,"{'Version': 2, 'From': [{'Name': 's1', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'segment_name_abbreviated'}, 'Name': 'simpfy_challenges_vw.segment_name_abbreviated', 'NativeReferenceName': 'Segment Name1'}, {'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'segment_name'}, 'Name': 'simpfy_challenges_vw.segment_name', 'NativeReferenceName': 'Segment Name'}, {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'challange_id'}}, 'Function': 2}, 'Name': 'CountNonNull(simpfy_challenges_vw.challange_id)', 'NativeReferenceName': 'Count of challanges'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's1'}}, 'Property': 'challenge title (area of concern)'}}, 'Function': 2}}}]}",donutChart
Simpfy_project_96010eb4/40e9ffb52e9275b54eb3/Visual3_card,Visual3_card,Visual3_card,Visual3_card,Visual3_card,,"{'Version': 2, 'From': [{'Name': 's', 'Entity': 'simpfy_challenges_vw', 'Type': 0}], 'Select': [{'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'challange_id'}}, 'Function': 2}, 'Name': 'CountNonNull(simpfy_challenges_vw.challange_id)', 'NativeReferenceName': 'Count of challange_id1'}], 'OrderBy': [{'Direction': 2, 'Expression': {'Aggregation': {'Expression': {'Column': {'Expression': {'SourceRef': {'Source': 's'}}, 'Property': 'challenge title (area of concern)'}}, 'Function': 2}}}]}",card
