core.externalId,core.reference,core.assignable,core.name
Simpfy_project_96010eb4/simpfy_projects_vw/Start_Date_Quarter,TRUE,TRUE,Start_Date_Quarter
Simpfy_project_96010eb4/simpfy_projects_vw/general_impact_summary,TRUE,TRUE,general_impact_summary
Simpfy_project_96010eb4/simpfy_projects_vw/project_leader_name,TRUE,TRUE,project_leader_name
Simpfy_project_96010eb4/simpfy_projects_vw/segment_type,TRUE,TRUE,segment_type
Simpfy_project_96010eb4/simpfy_projects_vw/total_cost,TRUE,TRUE,total_cost
Simpfy_project_96010eb4/simpfy_projects_vw/milestone_name,TRUE,TRUE,milestone_name
Simpfy_project_96010eb4/simpfy_projects_vw/milestone_description,TRUE,TRUE,milestone_description
Simpfy_project_96010eb4/simpfy_projects_vw/milestone_target_date,TRUE,TRUE,milestone_target_date
Simpfy_project_96010eb4/simpfy_projects_vw/milestone_status,TRUE,TRUE,milestone_status
Simpfy_project_96010eb4/simpfy_projects_vw/milestone_completion_date,TRUE,TRUE,milestone_completion_date
Simpfy_project_96010eb4/simpfy_projects_vw/comment,TRUE,TRUE,comment
Simpfy_project_96010eb4/simpfy_challenges_vw/challenge_type_description,TRUE,TRUE,challenge_type_description
Simpfy_project_96010eb4/simpfy_projects_vw/comment_year,TRUE,TRUE,comment_year
Simpfy_project_96010eb4/simpfy_projects_vw/comment_quarter,TRUE,TRUE,comment_quarter
Simpfy_project_96010eb4/simpfy_projects_vw/milestone_reason_for_delay,TRUE,TRUE,milestone_reason_for_delay
Simpfy_project_96010eb4/simpfy_projects_vw/End_date,TRUE,TRUE,End date
Simpfy_project_96010eb4/simpfy_projects_vw/Start_date,TRUE,TRUE,Start date
Simpfy_project_96010eb4/simpfy_projects_vw/milestone_impact,TRUE,TRUE,milestone_impact
Simpfy_project_96010eb4/simpfy_projects_vw/Milestone_count_on_track,TRUE,TRUE,Milestone_count on track
Simpfy_project_96010eb4/simpfy_projects_vw/milestone_id,TRUE,TRUE,milestone_id
Simpfy_project_96010eb4/simpfy_projects_vw/Milestone_target_date,TRUE,TRUE,Milestone target date
Simpfy_project_96010eb4/simpfy_projects_vw/Milestone_count_delayed,TRUE,TRUE,Milestone_count delayed
Simpfy_project_96010eb4/simpfy_projects_vw/Milestone_count_finished_on_time,TRUE,TRUE,Milestone_count finished on time
Simpfy_project_96010eb4/simpfy_projects_vw/Milestone_count_finished_with_delay,TRUE,TRUE,Milestone_count finished with delay
Simpfy_project_96010eb4/simpfy_projects_vw/Quarter_Milestone,TRUE,TRUE,Quarter Milestone
Simpfy_project_96010eb4/simpfy_projects_vw/KPI_Display,TRUE,TRUE,KPI_Display
Simpfy_project_96010eb4/simpfy_kpi_value/Name,TRUE,TRUE,Name
