core.externalId,core.reference,core.assignable,core.name,com.infa.odin.models.relational.sourceStatementText
gethaortagsraw/socar_lakehouse/gethaortagsraw.append_data.lakehouse_lh_dwst_stg_tag_values_haor/SQL_JOB,,TRUE,SQL_JOB,
gethaortagsraw/socar_lakehouse/gethaortagsraw.atomic_replace_table_as_select.lh_dwst_stg_tag_values_haor/SQL_JOB,,TRUE,SQL_JOB,
