"core.externalId","core.name","core.description","custom.sap.hana.calcscript.v3.packagePath","custom.sap.hana.calcscript.v3.sourceSchema","custom.sap.hana.calcscript.v3.calcViewType","custom.sap.hana.calcscript.v3.defaultClient"
"HanaCalcView::TI_VENDOR_5Y","TI_VENDOR_5Y","TIME_INTELLIGENCE_VENDOR_5Y","","","CUBE","$$client$$"
